location,date,requested_latitude,requested_longitude,latitude,longitude,co2_ppm,grid_latitude,grid_longitude
Dehradun,2018-02-01,30.316500,78.032200,30.000000,78.000000,406.626831,30.000000,78.000000
Dehradun,2018-03-01,30.316500,78.032200,30.000000,78.000000,407.208038,30.000000,78.000000
Dehradun,2018-04-01,30.316500,78.032200,30.000000,78.000000,409.796753,30.000000,78.000000
Dehradun,2018-05-01,30.316500,78.032200,30.000000,78.000000,410.588196,30.000000,78.000000
Dehradun,2018-06-01,30.316500,78.032200,30.000000,78.000000,412.100677,30.000000,78.000000
Dehradun,2018-07-01,30.316500,78.032200,30.000000,78.000000,410.474304,30.000000,78.000000
Dehradun,2018-08-01,30.316500,78.032200,30.000000,78.000000,408.147461,30.000000,78.000000
Dehradun,2018-09-01,30.316500,78.032200,30.000000,78.000000,405.359161,30.000000,78.000000
Dehradun,2018-10-01,30.316500,78.032200,30.000000,78.000000,404.959686,30.000000,78.000000
Dehradun,2018-11-01,30.316500,78.032200,30.000000,78.000000,406.351898,30.000000,78.000000
Dehradun,2018-12-01,30.316500,78.032200,30.000000,78.000000,407.820312,30.000000,78.000000
Dehradun,2019-01-01,30.316500,78.032200,30.000000,78.000000,408.669067,30.000000,78.000000
Dehradun,2019-02-01,30.316500,78.032200,30.000000,78.000000,409.383362,30.000000,78.000000
Dehradun,2019-03-01,30.316500,78.032200,30.000000,78.000000,410.139557,30.000000,78.000000
Dehradun,2019-04-01,30.316500,78.032200,30.000000,78.000000,412.289185,30.000000,78.000000
Dehradun,2019-05-01,30.316500,78.032200,30.000000,78.000000,413.225769,30.000000,78.000000
Dehradun,2019-06-01,30.316500,78.032200,30.000000,78.000000,414.294830,30.000000,78.000000
Dehradun,2019-07-01,30.316500,78.032200,30.000000,78.000000,414.810822,30.000000,78.000000
Dehradun,2019-08-01,30.316500,78.032200,30.000000,78.000000,411.472412,30.000000,78.000000
Dehradun,2019-09-01,30.316500,78.032200,30.000000,78.000000,410.390869,30.000000,78.000000
Dehradun,2019-10-01,30.316500,78.032200,30.000000,78.000000,410.057587,30.000000,78.000000
Dehradun,2019-11-01,30.316500,78.032200,30.000000,78.000000,410.762390,30.000000,78.000000
Dehradun,2019-12-01,30.316500,78.032200,30.000000,78.000000,412.159332,30.000000,78.000000
Dehradun,2020-01-01,30.316500,78.032200,30.000000,78.000000,412.830505,30.000000,78.000000
Dehradun,2020-02-01,30.316500,78.032200,30.000000,78.000000,413.467255,30.000000,78.000000
Dehradun,2020-03-01,30.316500,78.032200,30.000000,78.000000,414.601776,30.000000,78.000000
Dehradun,2020-04-01,30.316500,78.032200,30.000000,78.000000,416.248993,30.000000,78.000000
Dehradun,2020-05-01,30.316500,78.032200,30.000000,78.000000,417.181366,30.000000,78.000000
Dehradun,2020-06-01,30.316500,78.032200,30.000000,78.000000,419.024109,30.000000,78.000000
Dehradun,2020-07-01,30.316500,78.032200,30.000000,78.000000,418.067505,30.000000,78.000000
Dehradun,2020-08-01,30.316500,78.032200,30.000000,78.000000,415.773590,30.000000,78.000000
Dehradun,2020-09-01,30.316500,78.032200,30.000000,78.000000,414.854431,30.000000,78.000000
Dehradun,2020-10-01,30.316500,78.032200,30.000000,78.000000,413.633667,30.000000,78.000000
Dehradun,2020-11-01,30.316500,78.032200,30.000000,78.000000,414.483337,30.000000,78.000000
Dehradun,2020-12-01,30.316500,78.032200,30.000000,78.000000,415.716461,30.000000,78.000000
Nainital,2003-01-01,29.391900,79.454200,29.250000,79.500000,374.682831,29.250000,79.500000
Nainital,2003-02-01,29.391900,79.454200,29.250000,79.500000,375.369354,29.250000,79.500000
Nainital,2003-03-01,29.391900,79.454200,29.250000,79.500000,376.202972,29.250000,79.500000
Nainital,2003-04-01,29.391900,79.454200,29.250000,79.500000,378.170624,29.250000,79.500000
Nainital,2003-05-01,29.391900,79.454200,29.250000,79.500000,379.421997,29.250000,79.500000
Nainital,2003-06-01,29.391900,79.454200,29.250000,79.500000,381.202118,29.250000,79.500000
Nainital,2003-07-01,29.391900,79.454200,29.250000,79.500000,377.593292,29.250000,79.500000
Nainital,2003-08-01,29.391900,79.454200,29.250000,79.500000,375.587708,29.250000,79.500000
Nainital,2003-09-01,29.391900,79.454200,29.250000,79.500000,374.343170,29.250000,79.500000
Nainital,2003-10-01,29.391900,79.454200,29.250000,79.500000,373.590668,29.250000,79.500000
Nainital,2003-11-01,29.391900,79.454200,29.250000,79.500000,376.073883,29.250000,79.500000
Nainital,2003-12-01,29.391900,79.454200,29.250000,79.500000,376.860504,29.250000,79.500000
Nainital,2004-01-01,29.391900,79.454200,29.250000,79.500000,377.888885,29.250000,79.500000
Nainital,2004-02-01,29.391900,79.454200,29.250000,79.500000,377.921265,29.250000,79.500000
Nainital,2004-03-01,29.391900,79.454200,29.250000,79.500000,379.178802,29.250000,79.500000
Nainital,2004-04-01,29.391900,79.454200,29.250000,79.500000,381.532532,29.250000,79.500000
Nainital,2004-05-01,29.391900,79.454200,29.250000,79.500000,382.217743,29.250000,79.500000
Nainital,2004-06-01,29.391900,79.454200,29.250000,79.500000,382.545319,29.250000,79.500000
Nainital,2004-07-01,29.391900,79.454200,29.250000,79.500000,381.725281,29.250000,79.500000
Nainital,2004-08-01,29.391900,79.454200,29.250000,79.500000,378.570526,29.250000,79.500000
Nainital,2004-09-01,29.391900,79.454200,29.250000,79.500000,378.617340,29.250000,79.500000
Nainital,2004-10-01,29.391900,79.454200,29.250000,79.500000,376.320374,29.250000,79.500000
Nainital,2004-11-01,29.391900,79.454200,29.250000,79.500000,377.916199,29.250000,79.500000
Nainital,2004-12-01,29.391900,79.454200,29.250000,79.500000,379.337952,29.250000,79.500000
Nainital,2005-01-01,29.391900,79.454200,29.250000,79.500000,380.143005,29.250000,79.500000
Nainital,2005-02-01,29.391900,79.454200,29.250000,79.500000,381.059418,29.250000,79.500000
Nainital,2005-03-01,29.391900,79.454200,29.250000,79.500000,381.785675,29.250000,79.500000
Nainital,2005-04-01,29.391900,79.454200,29.250000,79.500000,383.374908,29.250000,79.500000
Nainital,2005-05-01,29.391900,79.454200,29.250000,79.500000,384.304352,29.250000,79.500000
Nainital,2005-06-01,29.391900,79.454200,29.250000,79.500000,385.874817,29.250000,79.500000
Nainital,2005-07-01,29.391900,79.454200,29.250000,79.500000,383.697723,29.250000,79.500000
Nainital,2005-08-01,29.391900,79.454200,29.250000,79.500000,381.600677,29.250000,79.500000
Nainital,2005-09-01,29.391900,79.454200,29.250000,79.500000,379.895752,29.250000,79.500000
Nainital,2005-10-01,29.391900,79.454200,29.250000,79.500000,379.826660,29.250000,79.500000
Nainital,2005-11-01,29.391900,79.454200,29.250000,79.500000,380.664795,29.250000,79.500000
Nainital,2005-12-01,29.391900,79.454200,29.250000,79.500000,381.332062,29.250000,79.500000
Nainital,2006-01-01,29.391900,79.454200,29.250000,79.500000,383.009888,29.250000,79.500000
Nainital,2006-02-01,29.391900,79.454200,29.250000,79.500000,384.074799,29.250000,79.500000
Nainital,2006-03-01,29.391900,79.454200,29.250000,79.500000,384.622467,29.250000,79.500000
Nainital,2006-04-01,29.391900,79.454200,29.250000,79.500000,386.586456,29.250000,79.500000
Nainital,2006-05-01,29.391900,79.454200,29.250000,79.500000,389.845123,29.250000,79.500000
Nainital,2006-06-01,29.391900,79.454200,29.250000,79.500000,388.746277,29.250000,79.500000
Nainital,2006-07-01,29.391900,79.454200,29.250000,79.500000,386.381500,29.250000,79.500000
Nainital,2006-08-01,29.391900,79.454200,29.250000,79.500000,383.924835,29.250000,79.500000
Nainital,2006-09-01,29.391900,79.454200,29.250000,79.500000,382.963867,29.250000,79.500000
Nainital,2006-10-01,29.391900,79.454200,29.250000,79.500000,383.404968,29.250000,79.500000
Nainital,2006-11-01,29.391900,79.454200,29.250000,79.500000,383.342773,29.250000,79.500000
Nainital,2006-12-01,29.391900,79.454200,29.250000,79.500000,384.191498,29.250000,79.500000
Nainital,2007-01-01,29.391900,79.454200,29.250000,79.500000,385.444244,29.250000,79.500000
Nainital,2007-02-01,29.391900,79.454200,29.250000,79.500000,386.355042,29.250000,79.500000
Nainital,2007-03-01,29.391900,79.454200,29.250000,79.500000,386.847656,29.250000,79.500000
Nainital,2007-04-01,29.391900,79.454200,29.250000,79.500000,389.586548,29.250000,79.500000
Nainital,2007-05-01,29.391900,79.454200,29.250000,79.500000,390.696320,29.250000,79.500000
Nainital,2007-06-01,29.391900,79.454200,29.250000,79.500000,390.296814,29.250000,79.500000
Nainital,2007-07-01,29.391900,79.454200,29.250000,79.500000,388.646973,29.250000,79.500000
Nainital,2007-08-01,29.391900,79.454200,29.250000,79.500000,385.755188,29.250000,79.500000
Nainital,2007-09-01,29.391900,79.454200,29.250000,79.500000,383.549347,29.250000,79.500000
Nainital,2007-10-01,29.391900,79.454200,29.250000,79.500000,382.420532,29.250000,79.500000
Nainital,2007-11-01,29.391900,79.454200,29.250000,79.500000,384.141876,29.250000,79.500000
Nainital,2007-12-01,29.391900,79.454200,29.250000,79.500000,384.913300,29.250000,79.500000
Nainital,2008-01-01,29.391900,79.454200,29.250000,79.500000,385.885956,29.250000,79.500000
Nainital,2008-02-01,29.391900,79.454200,29.250000,79.500000,386.232605,29.250000,79.500000
Nainital,2008-03-01,29.391900,79.454200,29.250000,79.500000,387.562195,29.250000,79.500000
Nainital,2008-04-01,29.391900,79.454200,29.250000,79.500000,389.282654,29.250000,79.500000
Nainital,2008-05-01,29.391900,79.454200,29.250000,79.500000,391.268433,29.250000,79.500000
Nainital,2008-06-01,29.391900,79.454200,29.250000,79.500000,391.506256,29.250000,79.500000
Nainital,2008-07-01,29.391900,79.454200,29.250000,79.500000,389.044159,29.250000,79.500000
Nainital,2008-08-01,29.391900,79.454200,29.250000,79.500000,386.403534,29.250000,79.500000
Nainital,2008-09-01,29.391900,79.454200,29.250000,79.500000,384.498169,29.250000,79.500000
Nainital,2008-10-01,29.391900,79.454200,29.250000,79.500000,384.471619,29.250000,79.500000
Nainital,2008-11-01,29.391900,79.454200,29.250000,79.500000,385.198944,29.250000,79.500000
Nainital,2008-12-01,29.391900,79.454200,29.250000,79.500000,387.020172,29.250000,79.500000
Nainital,2009-01-01,29.391900,79.454200,29.250000,79.500000,387.723846,29.250000,79.500000
Nainital,2009-02-01,29.391900,79.454200,29.250000,79.500000,388.400208,29.250000,79.500000
