SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
46,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-02-2014 02:00,1.6
47,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-02-2014 04:00,0.6
48,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-02-2014 09:00,0.2
49,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-02-2014 10:00,0.4
50,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,22-02-2014 11:00,1.2
51,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,27-02-2014 18:00,0.4
52,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,27-02-2014 20:00,0.6
53,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,28-02-2014 17:00,3.4
54,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,28-02-2014 18:00,0.6
55,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,28-02-2014 21:00,0.2
56,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,28-02-2014 22:00,1
57,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,28-02-2014 23:00,0.8
58,Aghar,Himachal Pradesh,2,Himachal Pradesh,17,HAMIRPUR,BARSAR(T),-,-,Beas,Indus,-,-,-,Beas,31.60277778,76.58138889,01-03-2014 01:00,0.4
