SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
57,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 20:00,5
58,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 21:00,6
59,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,04-09-2022 23:00,0.5
60,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 00:00,0.5
61,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 01:00,1
62,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 02:00,4
63,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 03:00,10
64,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 06:00,2.5
65,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 07:00,3.5
66,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 08:00,3
67,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 09:00,6
68,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 11:00,0.5
69,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 15:00,0.5
70,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 16:00,0.5
71,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 17:00,0.5
72,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 19:00,0.5
73,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 21:00,1
74,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,05-09-2022 22:00,0.5
75,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,06-09-2022 01:00,0.5
76,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,06-09-2022 02:00,4.5
77,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,06-09-2022 03:00,2
78,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,06-09-2022 04:00,1.5
79,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,06-09-2022 05:00,1.5
80,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,06-09-2022 06:00,3
81,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,06-09-2022 07:00,4
82,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,06-09-2022 08:00,11
83,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,06-09-2022 09:00,8
84,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,06-09-2022 10:00,0.5
85,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,07-09-2022 05:00,0.5
86,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,07-09-2022 06:00,0.5
87,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,08-09-2022 03:00,0.5
88,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,08-09-2022 06:00,1
89,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,08-09-2022 07:00,1
90,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,08-09-2022 09:00,14
91,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,08-09-2022 10:00,5.5
92,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,08-09-2022 11:00,2
93,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,08-09-2022 12:00,1.5
94,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,08-09-2022 23:00,0.5
95,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,09-09-2022 01:00,0.5
96,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,09-09-2022 03:00,0.5
97,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,09-09-2022 04:00,1.5
98,Aalo,Arunachal SW,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,-,-,-,Brahmaputra,28.13111111,94.79388889,09-09-2022 06:00,1
